iter	Passed	Remaining
545	61595	502467
546	61729	502524
547	61829	502307
548	61957	502316
549	62067	502183
550	62180	502068
551	62295	501978
552	62411	501889
553	62530	501820
554	62632	501626
555	62730	501392
556	62840	501258
557	62947	501097
558	63044	500856
559	63153	500715
560	63258	500541
561	63359	500340
562	63456	500100
563	63556	499891
564	63674	499819
565	63795	499765
566	63912	499686
567	64009	499454
568	64111	499261
569	64214	499071
570	64326	498953
571	64431	498779
572	64529	498557
573	64633	498374
574	64736	498191
575	64856	498134
576	64966	498001
577	65090	497973
578	65214	497950
579	65317	497764
580	65442	497748
581	65569	497745
582	65677	497591
583	65785	497445
584	65891	497284
585	66003	497162
586	66138	497225
587	66244	497059
588	66363	496994
589	66484	496944
590	66578	496694
591	66699	496642
592	66833	496689
593	66938	496518
594	67056	496446
595	67160	496265
596	67264	496093
597	67368	495910
598	67475	495761
599	67592	495676
600	67703	495556
601	67818	495459
602	67930	495341
603	68019	495055
604	68117	494834
605	68221	494661
606	68326	494493
607	68429	494313
608	68540	494190
609	68655	494095
610	68769	493990
611	68880	493870
612	68989	493729
613	69094	493563
614	69216	493517
615	69329	493411
616	69436	493254
617	69548	493142
618	69659	493015
619	69770	492895
620	69876	492737
621	69982	492579
622	70123	492663
623	70219	492437
624	70323	492263
625	70421	492051
626	70537	491963
627	70647	491833
628	70747	491634
629	70862	491537
630	70968	491383
631	71065	491163
632	71161	490934
633	71276	490838
634	71407	490853
635	71505	490646
636	71606	490451
637	71711	490291
638	71823	490174
639	71919	489952
640	72041	489907
641	72160	489840
642	72278	489764
643	72392	489660
644	72493	489468
645	72613	489411
646	72720	489263
647	72829	489123
648	72937	488984
649	73046	488848
650	73148	488666
651	73264	488582
652	73364	488383
653	73482	488307
654	73576	488076
655	73680	487906
656	73774	487677
657	73884	487546
658	73994	487422
659	74107	487310
660	74210	487139
661	74316	486984
662	74425	486853
663	74545	486789
664	74636	486542
665	74744	486402
666	74855	486283
667	74953	486073
668	75050	485862
669	75147	485651
670	75272	485626
671	75383	485504
672	75486	485334
673	75602	485248
674	75719	485163
675	75819	484972
676	75930	484858
677	76026	484640
678	76159	484658
679	76269	484533
680	76387	484463
681	76502	484365
682	76608	484217
683	76720	484100
684	76843	484058
685	76948	483903
686	77065	483817
687	77180	483726
688	77279	483529
689	77377	483328
690	77487	483202
691	77573	482930
692	77680	482787
693	77789	482653
694	77903	482556
695	78010	482407
696	78112	482238
697	78212	482048
698	78303	481805
699	78419	481722
700	78546	481698
701	78731	482037
702	78839	481896
703	78939	481708
704	79055	481620
705	79167	481507
706	79298	481514
707	79420	481457
708	79546	481427
709	79675	481419
710	79797	481363
711	79952	481513
712	80116	481708
713	80233	481623
714	80346	481518
715	80479	481527
716	80585	481379
717	80693	481239
718	80810	481153
719	80927	481066
720	81027	480881
721	81136	480749
722	81246	480625
723	81345	480432
724	81441	480222
725	81547	480073
726	81664	479992
727	81777	479879
728	81872	479668
729	81983	479548
730	82092	479416
731	82200	479279
732	82323	479228
733	82437	479125
734	82556	479049
735	82687	479047
736	82854	479250
737	82965	479133
738	83100	479150
739	83204	478985
740	83313	478857
741	83422	478724
742	83519	478522
743	83625	478372
744	83728	478208
745	83839	478084
746	83968	478067
747	84087	477992
748	84206	477919
749	84340	477931
750	84462	477870
751	84566	477712
752	84709	477770
753	84838	477748
754	84948	477625
755	85077	477603
756	85196	477529
757	85336	477566
758	85449	477460
759	85564	477360
760	85674	477234
761	85794	477162
762	85903	477027
763	86014	476910
764	86117	476740
765	86228	476620
766	86343	476522
767	86458	476423
768	86578	476350
769	86689	476227
770	86801	476112
771	86903	475944
772	87000	475745
773	87102	475576
774	87214	475458
775	87310	475259
776	87405	475048
777	87513	474914
778	87618	474761
779	87778	474901
780	87886	474766
781	88011	474722
782	88122	474602
783	88236	474498
784	88358	474434
785	88465	474294
786	88578	474184
787	88699	474116
788	88810	473996
789	88898	473752
790	89017	473672
791	89121	473513
792	89247	473475
793	89348	473297
794	89453	473148
795	89558	472996
796	89669	472872
797	89778	472741
798	89918	472777
799	90030	472658
800	90175	472717
801	90296	472650
802	90436	472678
